method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
QUBO-SB (K=20),catboost,0.8871794871794872,0.08842901669004302,0.8325396825396826,0.12859837068292446,0.86,0.12942179105544785,0.82,0.17535677916750184,0.89125,0.0965822188604093,0.99,0.0,9.101969266599918,0.3579494240571269,0.6594773231998261,0.16123817749940084
QUBO-SB (K=20),knn,0.8871794871794872,0.043618014964625626,0.836984126984127,0.060680818662822295,0.8699999999999999,0.12041594578792295,0.82,0.10368220676663858,0.875,0.08841596469246944,0.99,0.0,9.101969266599918,0.3579494240571269,0.15751661060130573,0.03367864901751939
QUBO-SB (K=20),opf,0.8397435897435898,0.052470210076105424,0.7457142857142858,0.10697606064452181,0.86,0.12942179105544785,0.6900000000000001,0.16355427233796127,0.9175000000000001,0.06455980754308366,0.99,0.0,9.101969266599918,0.3579494240571269,0.0305856938008219,0.013680585429811268
QUBO-SB (K=20),rf,0.8551282051282051,0.064676914131433,0.7722222222222221,0.11180339887498945,0.86,0.12942179105544785,0.73,0.19235384061671346,0.878125,0.09642030387838445,0.99,0.0,9.101969266599918,0.3579494240571269,0.8023790311992343,0.03525938956684978
QUBO-SB (K=20),svm,0.8551282051282051,0.06853280646617482,0.8025396825396826,0.08501774598740569,0.8,0.1414213562373095,0.82,0.10368220676663858,0.905,0.049882674848087255,0.99,0.0,9.101969266599918,0.3579494240571269,0.04510487360021216,0.010705797359113105
QUBO-SB (K=20),xgboost,0.7897435897435898,0.04653510618687573,0.6476190476190476,0.16876233473018432,0.8133333333333332,0.18499249234015477,0.64,0.30700162866017505,0.8525,0.08059834830813845,0.99,0.0,9.101969266599918,0.3579494240571269,0.2608643478000886,0.0529141528290275
QUBO-SB (K=50),catboost,0.7730769230769231,0.11024895621791636,0.5314285714285714,0.35991936612716285,0.61,0.3847076812334269,0.48,0.343874977280988,0.78,0.13297967419872858,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.9364943309999945,0.47285572728311226
QUBO-SB (K=50),knn,0.7564102564102564,0.13408013245738387,0.5657720057720057,0.353786852853123,0.5733333333333334,0.38758511609996354,0.5700000000000001,0.3420526275297414,0.776875,0.15869339542022534,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.1475361974000407,0.07095160294783495
QUBO-SB (K=50),opf,0.6935897435897436,0.15795787519242502,0.5448051948051947,0.21632247312710703,0.65,0.33541019662496846,0.5,0.1903943276465977,0.67375,0.15596223501219772,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.017194844999175986,0.0006401847134780527
QUBO-SB (K=50),rf,0.8051282051282052,0.0505963775914644,0.6033333333333333,0.19163043135739746,0.96,0.08944271909999157,0.48,0.23611437906235186,0.82125,0.10982941318244403,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.9269087218002824,0.13619857622289527
QUBO-SB (K=50),svm,0.7102564102564102,0.08863787701253134,0.36666666666666664,0.3415650255319866,0.45,0.4472135954999579,0.32,0.2949576240750525,0.595,0.4285103193039813,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.04174405360026867,0.0015233647904459224
QUBO-SB (K=50),xgboost,0.7717948717948718,0.11273671130093642,0.5971428571428572,0.23650300942987548,0.7766666666666666,0.2727432655243551,0.53,0.2659887215654077,0.8125,0.11989578808281796,0.9798,0.01197184196354095,8.828988152599777,0.14268937585668878,0.28516665939969243,0.038735187020482974
RFECV,catboost,0.8551282051282051,0.034993189907579936,0.7811111111111111,0.08123278545081884,0.8300000000000001,0.09746794344808964,0.77,0.17888543819998318,0.88125,0.06187184335382292,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,16.846288446799736,10.95706092140427
RFECV,knn,0.7935897435897437,0.1270298696024016,0.6666666666666666,0.19569568263393575,0.7933333333333333,0.21653842358548953,0.61,0.260768096208106,0.8643750000000001,0.06642371093969382,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,0.09623825239978032,0.03609292724962306
RFECV,opf,0.7743589743589744,0.06820223629882251,0.6385714285714286,0.12912578901116195,0.7833333333333333,0.21730674684008833,0.61,0.260768096208106,0.87375,0.138166000702054,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,0.054503694799495864,0.03048473962932967
RFECV,rf,0.8705128205128204,0.08933055134176839,0.7944444444444445,0.14646029251626738,0.86,0.12942179105544785,0.77,0.2280350850198276,0.9175000000000001,0.08177713616898062,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,0.8955571903992677,0.08317350207359593
RFECV,svm,0.8551282051282051,0.034993189907579936,0.7977777777777778,0.05673742858527458,0.78,0.027386127875258317,0.82,0.10368220676663858,0.905,0.06287388169979644,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,0.07812569740053732,0.02428040682166429
RFECV,xgboost,0.7589743589743589,0.05059637759146438,0.5876190476190477,0.1536996511591354,0.75,0.14433756729740646,0.55,0.282842712474619,0.8487500000000001,0.06271836852151048,0.44000000000000006,0.403732584763727,11.366529983999499,4.957561679872452,1.3543340703996365,1.1146593832245357
